lamore|true|2402
571.1177978515625,23.493919372558594,-571.5642700195312|-0.8027899265289307,-8.456061806327853e-08,0.5962619781494141|-6.852013001434898e-08,1,4.956437038572403e-08|Running
570.7156982421875,23.494050979614258,-571.2669067382812|-0.8031319975852966,-1.1007045941369142e-07,0.5958011746406555|-8.908597948220631e-08,1,6.465690205459396e-08|Running
570.2130737304688,23.494094848632812,-570.8952026367188|-0.803442120552063,-1.0725842969350197e-07,0.5953828692436218|-8.672969187273338e-08,1,6.311256584012881e-08|Running
569.8109741210938,23.494104385375977,-570.5978393554688|-0.8036080002784729,9.41859479297591e-09,0.5951589941978455|7.675514446248144e-09,1,-5.461548990837173e-09|Running
569.4088745117188,23.494104385375977,-570.3004760742188|-0.8037276268005371,9.007677448380491e-08,0.5949974060058594|7.29266673715756e-08,1,-5.2880224643558904e-08|Running
569.0070190429688,23.494104385375977,-570.0031127929688|-0.80378258228302,6.381894479545736e-08,0.5949231386184692|5.1628141761739244e-08,1,-3.751937782681125e-08|Running
568.6051635742188,23.494104385375977,-569.7057495117188|-0.803787887096405,3.759008748716042e-08,0.5949159860610962|3.035311024746079e-08,1,-2.217561068107443e-08|Running
568.3037719726562,23.494104385375977,-569.4827270507812|-0.8037890791893005,1.794777659824831e-08,0.5949143767356873|1.442062025347468e-08,1,-1.0684965801033286e-08|Running
567.9019165039062,23.494104385375977,-569.1853637695312|-0.803790271282196,-8.202832191273046e-09,0.5949127674102783|-6.790958462232766e-09,1,4.612989545904611e-09|Running
567.6005249023438,23.494104385375977,-568.9623413085938|-0.8037909269332886,-2.778647356649344e-08,0.5949118733406067|-2.267586651782949e-08,1,1.606930055686462e-08|Running
567.1986694335938,23.494104385375977,-568.6649780273438|-0.8037916421890259,-5.3858958182217975e-08,0.5949109196662903|-4.382408036462948e-08,1,3.132154091645134e-08|Running
566.7958374023438,23.494104385375977,-568.3687744140625|-0.8042988777160645,-8.122833605739288e-08,0.5942249894142151|-6.601056412591788e-08,1,4.734926051241928e-08|Running
566.4937133789062,23.494104385375977,-568.146728515625|-0.8046042323112488,-1.0340219347426682e-07,0.5938114523887634|-8.397122286396552e-08,1,6.035347865918084e-08|Running
566.0908203125,23.494104385375977,-567.8505859375|-0.8049249649047852,-1.341799844567504e-07,0.593376636505127|-1.088920740244248e-07,1,7.841568816502331e-08|Running
565.789306640625,23.494104385375977,-567.6276245117188|-0.8047619462013245,-5.01953998366389e-08,0.5935976505279541|-4.070890824436901e-08,1,2.9370768928060897e-08|Running
565.2896728515625,23.494104385375977,-567.2520141601562|-0.8029467463493347,7.178925898188027e-08,0.5960507988929749|5.851314455185275e-08,1,-4.1617795432102866e-08|Running
564.9906616210938,23.494104385375977,-567.0257568359375|-0.8018506765365601,1.2670508908740885e-07,0.5975244641304016|1.0341402401081723e-07,1,-7.327310669325016e-08|Running
564.691650390625,23.494104385375977,-566.7994384765625|-0.8009596467018127,5.8058393648252604e-08,0.5987183451652527|4.7577387363162416e-08,1,-3.332255715804422e-08|Running
564.3926391601562,23.494104385375977,-566.5730590820312|-0.8002481460571289,-1.7589417922181383e-08,0.5996690392494202|-1.3840451451585523e-08,1,1.0862029498071024e-08|Running
563.9940185546875,23.494104385375977,-566.2713012695312|-0.799494206905365,-8.997931644216806e-08,0.6006737947463989|-7.26453777133429e-08,1,5.3106624875454145e-08|Running
563.5953369140625,23.494104385375977,-565.969482421875|-0.7989398837089539,-6.18305264765695e-08,0.6014108657836914|-5.0163901477162653e-08,1,3.616925425831141e-08|Running
563.0969848632812,23.494104385375977,-565.59228515625|-0.7984362840652466,-3.015129124150917e-08,0.6020793318748474|-2.485512240468779e-08,1,1.7117443462666415e-08|Running
562.5986328125,23.494104385375977,-565.215087890625|-0.7980518937110901,-6.970883315027265e-10,0.6025887131690979|-1.3179237701166358e-09,1,-5.885991694043469e-10|Running
562.1981201171875,23.494104385375977,-564.9157104492188|-0.7988072037696838,1.935577209621897e-08,0.6015871167182922|1.4719758745229683e-08,1,-1.2629133294694839e-08|Running
561.6954345703125,23.494104385375977,-564.5443115234375|-0.8006755113601685,2.163010925926301e-08,0.599098265171051|1.6617782705452555e-08,1,-1.389531245621356e-08|Running
561.2904052734375,23.494104385375977,-564.2510986328125|-0.8031883835792542,-2.5962885175090378e-08,0.5957251191139221|-2.1313116604915194e-08,1,1.4846508911148248e-08|Running
560.9855346679688,23.494104385375977,-564.0326538085938|-0.8051692843437195,-1.1006276423586314e-07,0.5930450558662415|-8.851375099538927e-08,1,6.541528563275278e-08|Running
560.5783081054688,23.494104385375977,-563.742431640625|-0.8076849579811096,-1.2099543766908027e-07,0.5896142721176147|-9.690683100416209e-08,1,7.24630453419195e-08|Running
560.1707763671875,23.494104385375977,-563.4527587890625|-0.809660017490387,-7.393968814994878e-08,0.5868992209434509|-5.9176130662308424e-08,1,4.434687284060601e-08|Running
559.7618408203125,23.494104385375977,-563.1649169921875|-0.8118595480918884,-3.755565458618548e-08,0.5838527679443359|-3.030814355042821e-08,1,2.217973182894184e-08|Running
559.3529052734375,23.494104385375977,-562.8771362304688|-0.8135082721710205,-4.5212452448595286e-08,0.5815533399581909|-3.70505510716157e-08,1,2.5915978696389175e-08|Running
559.046142578125,23.494104385375977,-562.6612548828125|-0.8144124746322632,-6.73319675570383e-08,0.58028644323349|-5.5379647534437026e-08,1,3.830883343880487e-08|Running
558.7394409179688,23.494104385375977,-562.445556640625|-0.8151248097419739,-9.70683800005645e-08,0.5792853832244873|-7.98925654521554e-08,1,5.514720058386047e-08|Running
558.3305053710938,23.494104385375977,-562.157958984375|-0.8158769011497498,-1.0686831330986024e-07,0.5782256722450256|-8.794243910870136e-08,1,6.073426561670203e-08|Running
557.820556640625,23.494104385375977,-561.79638671875|-0.8158697485923767,1.5523584195875628e-08,0.5782356858253479|1.2834772356029589e-08,1,-8.737061740760055e-09|Running
557.4140014648438,23.494104385375977,-561.5051879882812|-0.8151016235351562,1.0998270738582505e-07,0.5793179869651794|9.064905270861345e-08,1,-6.230519034033932e-08|Running
556.9073486328125,23.494104385375977,-561.1392822265625|-0.8136582374572754,3.055132680174211e-08,0.5813434720039368|2.5340316511801575e-08,1,-1.7086232872998153e-08|Running
556.504638671875,23.494104385375977,-560.8429565429688|-0.8114829063415527,-6.924535256302988e-08,0.5843761563301086|-5.6270923920465066e-08,1,4.0354930064268046e-08|Running
556.104248046875,23.494104385375977,-560.5433349609375|-0.8085871934890747,-1.213062716942659e-07,0.5883764028549194|-9.858245419991363e-08,1,7.06924438986789e-08|Running
555.6065673828125,23.494104385375977,-560.1651611328125|-0.8044506907463074,-1.1284173240255768e-07,0.5940194129943848|-9.06544741496873e-08,1,6.719423595313856e-08|Running
