Mt Forever|true|20028
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.2329328669125061e-08,1.0000001192092896,1.22769101551512e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.6627204502128734e-08,1.0000001192092896,1.65565143817048e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.546396077856116e-08,1.0000001192092896,1.5398216035578116e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|8.846589238942215e-09,1.0000001192092896,8.808978435581594e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|2.2348829453733288e-09,1.0000001192092896,2.225381212639377e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-4.371168316197327e-09,1.0000001192092896,-4.3525840709435215e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.097157209528632e-08,1.0000001192092896,-1.0924926741040508e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.7566330612339698e-08,1.0000001192092896,-1.7491647241740793e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7043578028678894,0,0.709845244884491|-1.2865051246535586e-08,1.0000001192092896,-1.2765598356168084e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7018734216690063,0,0.7123017907142639|-7.072732177704211e-09,1,-6.969184784821891e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6893272995948792,0,0.7244501709938049|-2.8253956951829196e-09,1.0000001192092896,-2.6884146020478283e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6688129305839539,0,0.7434307336807251|-5.5072248844600935e-12,1,-4.954467391904416e-12|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.6570433974266052,0,0.7538527250289917|3.549025962001906e-09,1.0000001192092896,3.093262090914095e-09|Running
