yahayuk zepetto|false|12018
-941.5922241210938,171.79454040527344,876.7124633789062|0.9865357875823975,-2.317828773357178e-08,0.1635456681251526|2.430943268905139e-08,1,-4.915063911425932e-09|Running
-941.2050170898438,171.79454040527344,876.6126098632812|0.9865357279777527,-1.543570604667366e-08,0.16354602575302124|1.6188998586130765e-08,1,-3.27320881510218e-09|Running
-940.7215576171875,171.79454040527344,876.4847412109375|0.9865356683731079,-1.927610071561503e-08,0.16354626417160034|2.0216816665197257e-08,1,-4.087581828571274e-09|Running
-940.1442260742188,171.79454040527344,876.3211059570312|0.9865356087684631,-2.3104165691734124e-08,0.16354656219482422|2.4231699313759236e-08,1,-4.899330718899364e-09|Running
-939.6644287109375,171.79454040527344,876.1806030273438|0.9865348935127258,-1.923083914334711e-08,0.16355077922344208|2.0169377279444234e-08,1,-4.077974402605378e-09|Running
-939.1857299804688,171.79454040527344,876.0363159179688|0.9865348935127258,-1.9210300905569966e-08,0.16355109214782715|2.0147840729123345e-08,1,-4.073620551992008e-09|Running
-938.6143188476562,171.79454040527344,875.8533325195312|0.9865339398384094,-2.302524393371641e-08,0.16355650126934052|2.4149017008312512e-08,1,-4.882599213829053e-09|Running
-938.04541015625,171.79454040527344,875.6627807617188|0.9883677363395691,-2.3095896750646716e-08,0.1520828753709793|2.4118051555888087e-08,1,-4.876338000059377e-09|Running
-937.1073608398438,171.79454040527344,875.3159790039062|0.9912740588188171,-3.8708478200533136e-08,0.13181708753108978|4.012811061215871e-08,1,-8.11334199823932e-09|Running
-936.2765502929688,171.79454040527344,874.9703979492188|0.9930651187896729,-3.4935403903091355e-08,0.11756550520658493|3.604207066132403e-08,1,-7.287185077586855e-09|Running
-935.636474609375,171.79454040527344,874.6868896484375|0.9937300086021423,-2.717678704300397e-08,0.11180658638477325|2.7984867756458698e-08,1,-5.658115753703896e-09|Running
-935.36328125,171.79454040527344,874.5629272460938|0.9943619966506958,-1.1656313247954131e-08,0.10603883862495422|1.1980720415749602e-08,1,-2.4223170136394856e-09|Running
-934.9093017578125,171.79454040527344,874.3532104492188|0.9943615198135376,-1.9410576257428147e-08,0.10604335367679596|1.9950821439351785e-08,1,-4.033744893661151e-09|Running
-934.5462646484375,171.79454040527344,874.1852416992188|0.9943614602088928,-1.5513549556089856e-08,0.10604371875524521|1.5945332165756554e-08,1,-3.2238915981253058e-09|Running
-933.9109497070312,171.79454040527344,873.8912963867188|0.9943612217903137,-2.7116831446960532e-08,0.1060461550951004|2.7871582375382786e-08,1,-5.6351812105503996e-09|Running
-933.5479125976562,171.79454040527344,873.7233276367188|0.994361162185669,-1.5477143122666348e-08,0.106046661734581|1.5907925643432463e-08,1,-3.2163198770973622e-09|Running
-932.7332153320312,171.79454040527344,873.3407592773438|0.9943606853485107,-3.4775226254168956e-08,0.10605119168758392|3.574319151766758e-08,1,-7.226673481852686e-09|Running
-932.1914672851562,171.79454040527344,873.0828857421875|0.9949597120285034,-2.318840941484268e-08,0.10027548670768738|2.3790653003175066e-08,1,-4.8100599059353044e-09|Running
-931.7417602539062,171.79454040527344,872.8643798828125|0.9949592351913452,-1.930095194779824e-08,0.10028005391359329|1.9802259387802224e-08,1,-4.0036747250837834e-09|Running
-931.2039184570312,171.79454040527344,872.5985107421875|0.9949592351913452,-2.313394276143299e-08,0.10028043389320374|2.3734807896858e-08,1,-4.798761832347509e-09|Running
-930.8461303710938,171.79454040527344,872.4197387695312|0.9955244660377502,-1.5433560207611663e-08,0.09450408071279526|1.580631270314825e-08,1,-3.1957583246366994e-09|Running
-930.48974609375,171.79454040527344,872.2380981445312|0.9955244660377502,-1.5420379639863313e-08,0.09450437128543854|1.5792815943882488e-08,1,-3.1930278421299363e-09|Running
-929.9564819335938,171.79454040527344,871.9632568359375|0.9955244064331055,-2.3105876323370467e-08,0.09450468420982361|2.366393836439329e-08,1,-4.784426188564339e-09|Running
-929.423583984375,171.78712463378906,871.6878662109375|0.9955243468284607,-2.3076260902143986e-08,0.09450513869524002|2.363360884771737e-08,1,-4.7782853229705324e-09|Running
-928.9804077148438,171.776123046875,871.4567260742188|0.9955243468284607,-1.920762748852667e-08,0.09450558573007584|1.9671540840704438e-08,1,-3.9772221072098546e-09|Running
-928.53759765625,171.7645263671875,871.224853515625|0.9955242872238159,-1.9187117672458953e-08,0.09450597316026688|1.965053719743537e-08,1,-3.972972617560799e-09|Running
-928.0947875976562,171.75682067871094,870.992919921875|0.9955242872238159,-1.916663272538699e-08,0.09450635313987732|1.9629560199518892e-08,1,-3.968726236536213e-09|Running
-927.5634155273438,171.75299072265625,870.714599609375|0.9955242276191711,-2.2972955093791825e-08,0.09450672566890717|2.3527817916146887e-08,1,-4.75687844669892e-09|Running
-927.12060546875,171.75405883789062,870.482666015625|0.9955241680145264,-1.9121646488429178e-08,0.09450719505548477|1.9583490384889046e-08,1,-3.959407468556719e-09|Running
-926.5899047851562,171.75927734375,870.2029418945312|0.9955241680145264,-2.2919024900147633e-08,0.09450757503509521|2.3472590982009933e-08,1,-4.745706050357512e-09|Running
-926.0592651367188,171.7666473388672,869.9231567382812|0.9960565567016602,-2.2929587117914707e-08,0.08872077614068985|2.344253502428728e-08,1,-4.7396242486286155e-09|Running
