Replay 1|true|798
-325.388671875,15.495884895324707,49.292903900146484|-0.8996227383613586,1.3309417568052595e-07,-0.4366680085659027|1.2047006237025926e-07,1,5.6602679876505135e-08|Running
-327.3202209472656,15.38670539855957,48.393638610839844|-0.9034607410430908,1.2231591028921684e-07,-0.42867082357406616|1.1117263198912042e-07,1,5.10316979784875e-08|Running
-328.16802978515625,15.343147277832031,48.00570297241211|-0.9049367904663086,1.1933904886518576e-07,-0.4255460202693939|1.0864065558280345e-07,1,4.9409759839136314e-08|Running
-329.380126953125,15.297619819641113,47.45194625854492|-0.906561017036438,1.0434716557483625e-07,-0.42207473516464233|9.5219434115279e-08,1,4.270554398999593e-08|Running
-330.2288818359375,15.280917167663574,47.064170837402344|-0.9073405861854553,9.250892674117495e-08,-0.4203963279724121|8.452232691524841e-08,1,3.7627327031941604e-08|Running
-330.8351135253906,15.26979923248291,46.78718185424805|-0.9077490568161011,7.392762313429557e-08,-0.4195135533809662|6.762208215604915e-08,1,2.9900675713179226e-08|Running
-331.3200988769531,15.26065444946289,46.56558609008789|-0.9080117344856262,6.93173447530171e-08,-0.41894468665122986|6.347413972207505e-08,1,2.7884555109380926e-08|Running
-331.9264831542969,15.251629829406738,46.288570404052734|-0.9082858562469482,7.193283835249531e-08,-0.4183500409126282|6.594925139324914e-08,1,2.8760759107626654e-08|Running
-332.6541442871094,15.244208335876465,45.95615005493164|-0.9085564017295837,8.360468939372367e-08,-0.4177621603012085|7.672374380263136e-08,1,3.326494280031511e-08|Running
-333.7456359863281,15.243525505065918,45.45748519897461|-0.9088738560676575,1.1214589790142782e-07,-0.41707107424736023|1.0298401775798993e-07,1,4.446824419801487e-08|Running
-334.5945739746094,15.2400484085083,45.06963348388672|-0.9090509414672852,1.0460555444069541e-07,-0.4166850447654724|9.607690287793957e-08,1,4.1438397602178156e-08|Running
-335.2009582519531,15.233987808227539,44.7926139831543|-0.9091454744338989,3.7597381208342995e-08,-0.41647869348526|3.453877539527639e-08,1,1.4878573040277843e-08|Running
