Mt Newbie|true|53710
490.7796630859375,28.00592041015625,282.0218505859375|0.9996360540390015,0,0.026977600529789925|-2.0352595164752074e-09,1,7.541511592989991e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.0995165606052524e-09,1.0000001192092896,8.326387757051634e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.2919775249642385e-09,1.0000001192092896,5.123801471995648e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-4.851285484441803e-10,1.0000001192092896,1.9239516646507582e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|3.2103095182201e-10,1.0000001192092896,-1.273163707793401e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.1265015587014204e-09,1.0000001192092896,-4.467547043418563e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.9312842436391975e-09,1.0000001192092896,-7.65920162848488e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.8486346897716999e-09,1.0000001192092896,-7.331425422307802e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.1398206822832435e-09,1.0000001192092896,-4.5203684351236006e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|5.73314395957425e-10,1.0000001192092896,-2.2736841742698743e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|7.29221977940897e-12,1.0000001192092896,-2.8919919237146985e-10|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-5.582462825337586e-10,1.0000001192092896,2.2139262867426623e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.1233015628775433e-09,1.0000001192092896,4.4548560396151515e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.6878740627390698e-09,1.0000001192092896,6.693871057450451e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.2519643927410016e-09,1.0000001192092896,8.930974360055188e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.486331391298279e-09,1.0000001192092896,5.8945811787225466e-08|Running
